Vehicle,Origin,Manufacturer,Mass to … (kg),Launches (+ suborbital),Date of flight
Antares 110–130,United States,Orbital,"7003510000000000000♠5,100[6]",,"7003150000000000000♠1,500 to SSO",7000500000000000000♠5[6],2013,2014
Ariane 1,Europe,Aérospatiale,"7003140000000000000♠1,400","7003183000000000000♠1,830[181]",,7001110000000000000♠11[181],1979,1986
Ariane 2,Europe,Aérospatiale,,"7003227000000000000♠2,270[181]",,7000600000000000000♠6[181],1986,1989
Ariane 3,Europe,Aérospatiale,,"7003265000000000000♠2,650[181]",,7001110000000000000♠11[181],1984,1989
Ariane 4 40,Europe,Aérospatiale,"7003460000000000000♠4,600[181]","7003210500000000000♠2,105","7003274000000000000♠2,740 to SSO",7000700000000000000♠7[181],1990,1999
Ariane 4 42L,Europe,Aérospatiale,"7003700000000000000♠7,000[181]","7003348000000000000♠3,480","7003450000000000000♠4,500 to SSO",7001130000000000000♠13[181],1993,2002
Ariane 4 42P,Europe,Aérospatiale,"7003600000000000000♠6,000[181]","7003293000000000000♠2,930","7003340000000000000♠3,400 to SSO",7001150000000000000♠15[181],1990,2002
Ariane 4 44L,Europe,Aérospatiale,"7003700000000000000♠7,000[181]","7003472000000000000♠4,720","7003600000000000000♠6,000 to SSO",7001400000000000000♠40[181],1989,2003
Ariane 4 44LP,Europe,Aérospatiale,"7003700000000000000♠7,000[181]","7003422000000000000♠4,220","7003500000000000000♠5,000 to SSO",7001260000000000000♠26[181],1988,2001
Ariane 4 44P,Europe,Aérospatiale,"7003650000000000000♠6,500[181]","7003346500000000000♠3,465","7003410000000000000♠4,100 to SSO",7001150000000000000♠15[181],1991,2001
Ariane 5 G,Europe,EADS Astrium,"7004180000000000000♠18,000[11]","7003690000000000000♠6,900[11]",,7001160000000000000♠16[11],1996,2003
Ariane 5 G+,Europe,EADS Astrium,,"7003710000000000000♠7,100[11]",,7000300000000000000♠3[11],2004,2004
Ariane 5 GS,Europe,EADS Astrium,"7004160000000000000♠16,000[182]","7003660000000000000♠6,600[11]",,7000600000000000000♠6[11],2005,2009[183]
Ariane 5 ES,Europe,EADS Astrium,"7004210000000000000♠21,000[8]","7003800000000000000♠8,000[11]",,7000800000000000000♠8[11],2008,2018
ASLV,India,ISRO[184],7002150000000000000♠150[185],,,7000400000000000000♠4[185],1987,1994
Athena I,United States,Lockheed Martin,7002795000000000000♠795[186],7002515000000000000♠515,,7000400000000000000♠4[187],1995,2001
Athena II,United States,Lockheed Martin,"7003180000000000000♠1,800[188]",,,7000300000000000000♠3[189],1998,1999[190]
Atlas-Centaur,United States,Lockheed,"7003113400000000000♠1,134[191]","7003222200000000000♠2,222[192]",,7002148000000000000♠148,1962,1983
Atlas G,United States,Lockheed,"7003590000000000000♠5,900[193]","7003222200000000000♠2,222","1,179 to HCO[193]",7000700000000000000♠7[193],1984,1989
Atlas H/MSD,United States,Lockheed,"7003363000000000000♠3,630[194]",,,7000500000000000000♠5,1983,1987
Atlas I,United States,Lockheed Martin,"7003590000000000000♠5,900[193]","7003234000000000000♠2,340[193]",,7001110000000000000♠11[193],1990,1997
Atlas II,United States,Lockheed Martin,"7003678000000000000♠6,780[193]","7003281000000000000♠2,810","2,000 to HCO[193]",7001100000000000000♠10[193],1991,1998
Atlas IIA,United States,Lockheed Martin,"7003731600000000000♠7,316[193]","7003318000000000000♠3,180","2,160 to HCO[193]",7001230000000000000♠23[193],1992,2002
Atlas IIAS,United States,Lockheed Martin,"7003861800000000000♠8,618[193]","7003383300000000000♠3,833","2,680 to HCO[193]",7001300000000000000♠30[193],1993,2004
Atlas IIIA,United States,Lockheed Martin,"7003868600000000000♠8,686[193]","7003406000000000000♠4,060","2,970 to HCO[193]",7000200000000000000♠2[193],2000,2004
Atlas IIIB/DEC,United States,Lockheed Martin,"7004107590000000000♠10,759[193]","7003460900000000000♠4,609[193]",,7000100000000000000♠1[193],2002,2002
Atlas IIIB/SEC,United States,Lockheed Martin,"7004102180000000000♠10,218[195]","7003419300000000000♠4,193[193]",,7000300000000000000♠3[193],2003,2005
Black Arrow,United Kingdom,RAE,7001730000000000000♠73[196],,,7000200000000000000♠2 (+2),1969[note 5],1971
Commercial Titan III,United States,Martin Marietta,"7004131000000000000♠13,100[197]",,,7000400000000000000♠4,1990,1992
Delta 0300,United States,McDonnell Douglas,,7002340000000000000♠340[198],7002747000000000000♠747 to SSO[199],7000300000000000000♠3[200],1972,1973[201]
Delta 0900,United States,McDonnell Douglas,"7003130000000000000♠1,300[202]",,7002818000000000000♠818 to SSO[200],7000200000000000000♠2[200],1972,1972
Delta 1410,United States,McDonnell Douglas,7002340000000000000♠340[203],,,7000100000000000000♠1[200],1975,1975
Delta 1604,United States,McDonnell Douglas,7002390000000000000♠390[204],,,7000200000000000000♠2[200],1972,1973
Delta 1900,United States,McDonnell Douglas,"7003180000000000000♠1,800[200]",,,7000100000000000000♠1[200],1973,1973
Delta 1910,United States,McDonnell Douglas,"7003106600000000000♠1,066[205]",,,7000100000000000000♠1[200],1975,1975
Delta 1913,United States,McDonnell Douglas,7002328000000000000♠328[206],,,7000100000000000000♠1[200],1973,1973
Delta 1914,United States,McDonnell Douglas,,7002680000000000000♠680[207],,7000200000000000000♠2[200],1972,1973
Delta 2310,United States,McDonnell Douglas,7002336000000000000♠336[208],,,7000300000000000000♠3[200],1974,1981
Delta 2313,United States,McDonnell Douglas,,,7002243000000000000♠243 to GEO[209],7000300000000000000♠3[200],1974,1977
Delta 2910,United States,McDonnell Douglas,"7003188700000000000♠1,887[200]",,,7000600000000000000♠6[200],1975,1978
Delta 2913,United States,McDonnell Douglas,"7003200000000000000♠2,000[210]",7002700000000000000♠700[210],,7000600000000000000♠6[200],1975,1976
Delta 2914,United States,McDonnell Douglas,,7002724000000000000♠724[200],,7001300000000000000♠30[200],1974,1979
Delta 3910,United States,McDonnell Douglas,"7003249400000000000♠2,494[200]","7003115400000000000♠1,154 with PAM-D",,7001100000000000000♠10[200],1980,1988
Delta 3913,United States,McDonnell Douglas,7002816000000000000♠816[211],,,7000100000000000000♠1[200],1981,1981
Delta 3914,United States,McDonnell Douglas,,7002954000000000000♠954[200],,7001130000000000000♠13[200],1975,1987
Delta 3920,United States,McDonnell Douglas,"7003345200000000000♠3,452[200]","7003128400000000000♠1,284 with PAM-D",,7001100000000000000♠10[200],1982,1989
Delta 3924,United States,McDonnell Douglas,,"7003110400000000000♠1,104[200]",,7000400000000000000♠4[200],1982,1984
Delta 4925,United States,McDonnell Douglas,"7003340000000000000♠3,400[212]","7003131200000000000♠1,312[200]",,7000200000000000000♠2[200],1989,1990
Delta 5920,United States,McDonnell Douglas,"7003384800000000000♠3,848[213]",,,7000100000000000000♠1[200],1989,1989
Delta II 6920,United States,McDonnell Douglas,"7003398300000000000♠3,983[200]",,,7000300000000000000♠3[200],1990,1992
Delta II 6925,United States,McDonnell Douglas,,"7003144700000000000♠1,447[200]",,7001140000000000000♠14[200],1989,1992
Delta II 7320,United States,Boeing IDS / ULA,"7003286500000000000♠2,865[200]",,"7003165100000000000♠1,651 to SSO",7001120000000000000♠12[200],1999,2015
Delta II 7326,United States,Boeing IDS,,7002934000000000000♠934[200],636 to TLI 629 to HCO,7000300000000000000♠3[200],1998,2001
Delta II 7420,United States,ULA,"7003318500000000000♠3,185[200]",,"7003196600000000000♠1,966 to SSO",7001140000000000000♠14[200],1998,2018
Delta II 7425,United States,Boeing IDS,,"7003110000000000000♠1,100[200]",804 to HCO,7000400000000000000♠4[200],1998,2002
Delta II 7426,United States,Boeing IDS,,"7003105800000000000♠1,058[200]",734 to TLI 711 to HCO,7000100000000000000♠1[200],1999,1999
Delta II 7920,United States,Boeing IDS / ULA,"7003503000000000000♠5,030[200]",,"7003312300000000000♠3,123 to SSO",7001290000000000000♠29[200],1998,2017
Delta II 7925,United States,Boeing IDS / ULA,,"7003181900000000000♠1,819[200]","1,177 to TLI 1,265 to HCO",7001690000000000000♠69[200],1990,2009
Delta II-H 7920H,United States,Boeing IDS / ULA,"7003609700000000000♠6,097[200]",,,7000300000000000000♠3[200],2003,2011
Delta II-H 7925H,United States,Boeing IDS / ULA,,"7003217100000000000♠2,171","1,508 to HCO[200]",7000300000000000000♠3[200],2003,2007
Delta III 8930,United States,Boeing IDS,"7003829200000000000♠8,292[200]","7003381000000000000♠3,810",,7000300000000000000♠3[200],1998,2000
Delta IV M,United States,Boeing IDS,"7003944000000000000♠9,440[34]","7003444000000000000♠4,440","7003769000000000000♠7,690 to polar",7000300000000000000♠3[35],2003,2006
"Delta IV M+(5,2)",United States,ULA,"7004114700000000000♠11,470[34]","7003549000000000000♠5,490","7003960000000000000♠9,600 to polar",7000300000000000000♠3[35],2012,2018
Diamant,France,SEREB,7002107000000000000♠107[214][215],,,7001120000000000000♠12,1965,1975
Dnepr,Ukraine,Yuzhmash,"7003370000000000000♠3,700[216]",,,7001220000000000000♠22[216],1999,2015[217]
Energia[note 6],Soviet Union,NPO Energia,"7005100000000000000♠100,000[218]",,"7004200000000000000♠20,000 to GEO[218] 32,000 to TLI[218]",7000100000000000000♠1 (failed to orbit)[219],1987,1987
Energia-Buran,Soviet Union,NPO Energia (Launcher) NPO Molniya (Orbiter),"7004300000000000000♠30,000[218] [note 7]",,,7000100000000000000♠1,1988,1988
Falcon 1,United States,SpaceX,7002470000000000000♠470[220],,,7000500000000000000♠5[220],2006,2009
Falcon 9 v1.0,United States,SpaceX,"7004104500000000000♠10,450[221]","7003454000000000000♠4,540[221]",,7000500000000000000♠5[222],2010,2013
Falcon 9 v1.1,United States,SpaceX,"7004131500000000000♠13,150[note 8][223]","7003485000000000000♠4,850[223]",,7001150000000000000♠15[222],2013,2016
Feng Bao 1,China,Shanghai Bureau №2,"7003250000000000000♠2,500[224]",,,7000800000000000000♠8 (+3)[225],1972,1981
GSLV Mk.I(a),India,ISRO,"7003500000000000000♠5,000[55]","7003154000000000000♠1,540[226]",,7000100000000000000♠1[226],2001,2001
GSLV Mk.I(b),India,ISRO,"7003500000000000000♠5,000[55]","7003215000000000000♠2,150[226]",,7000400000000000000♠4[226],2003,2007
GSLV Mk.I(c),India,ISRO,"7003500000000000000♠5,000[55]",,,7000100000000000000♠1[226],2010,2010
H-I,Japan United States,Mitsubishi,"7003140000000000000♠1,400[227]",,,7000900000000000000♠9,1986,1992
H-II / IIS,Japan,Mitsubishi,"7004100600000000000♠10,060[228]","7003400000000000000♠4,000[229]",,7000700000000000000♠7[229],1994,1999
H-IIA 2022,Japan,Mitsubishi,,"7003450000000000000♠4,500[62]",,7000300000000000000♠3[62],2005,2007
H-IIA 2024,Japan,Mitsubishi,"7004110000000000000♠11,000[230]","7003500000000000000♠5,000[62]",,7000700000000000000♠7[62],2002,2008
J-I,Japan,Nissan Motors[231],"7003100000000000000♠1,000[232]",,,5000000000000000000♠0 (+1),1996,1996
Kaituozhe-1,China,CALT,7002100000000000000♠100[233],,,7000200000000000000♠2,2002,2003
Kosmos-3M,Soviet Union Russia,NPO Polyot,"7003150000000000000♠1,500[234]",,,7002442000000000000♠442[235],1967,2010
Lambda 4S,Japan,Nissan Motors[231],7001260000000000000♠26[236],,,7000500000000000000♠5,1966,1970
Long March 1,China,CALT,7002300000000000000♠300[237],,,7000200000000000000♠2[238],1970,1971
Long March 1D,China,CALT,7002740000000000000♠740[239],,,5000000000000000000♠0 (+3)[238],1995[note 9],2002
Long March 2A,China,CALT,"7003200000000000000♠2,000[240]",,,7000400000000000000♠4[78],1974,1978
